x, y
0.0013658929601461861, -9.652777777777779
0.0022603030271419193, -8.37962962962963
0.003651741272548377, -7.268518518518519
0.005759922853513626, -6.273148148148149
0.008869857990181914, -5.416666666666667
0.013019171061900777, -4.6759259259259265
0.019109529749704406, -3.958333333333334
0.026101572156825358, -3.4027777777777786
0.03651741272548377, -2.893518518518519
0.05108969774506927, -2.4305555555555562
0.06651455144438632, -2.037037037037037
0.09085175756516867, -1.6666666666666679
0.12409377607517195, -1.3888888888888893
0.17361343640045218, -1.0879629629629637
0.24879023672388345, -0.8796296296296298
0.33982083289425596, -0.6712962962962976
0.4531583637600818, -0.39351851851851904
0.4424185553847914, -0.13888888888888928
0.3740388100367785, -0.023148148148148806
