x, y
0.0012880942571684869, -4.68677494199536
0.0019406987010738028, -4.037122969837587
0.0025918661240102716, -3.4106728538283066
0.0034615213588152713, -2.9234338747099775
0.004197944080796711, -2.4361948955916475
0.004969756135303314, -2.064965197215778
0.006174132084957101, -1.7169373549883993
0.007670377774013281, -1.3689095127610216
0.01024403855159292, -1.1368909512761025
0.01401512122689135, -0.8584686774941996
0.023253704355196154, -0.6032482598607896
0.03031624391953438, -0.48723897911832914
0.035890030052487934, -0.2784222737819029
0.02820082282777036, -0.04640371229698381
